??? ??????,?????,?????,????? ??????,Email,??? ????,??????,???????,????? ???????,????????,??? ????? ???????,??? ???????,???????,?????? ??????? ???????,???????,???? ?????,Major Dep.,Status,Minor Dep.,??? ??????,???????,??????? ????????
???? ????????? ????????? ???,????,????,161001,m.abdeltawab_fci16@suezuni.edu.eg,98765432136251,Dr.Yasser Fouaad Ramadan,????,26-Jun-98,1111111,??????,??? ????,????,???????? ?????? -2016,Address123,?????,???? ??????,????,,,-------------------,??? ?????
????? ???? ????????? ????,???,????,161002,i.ahmed_fci16@suezuni.edu.eg,98765432136252,Dr.Yasser Fouaad Ramadan,????,27-Jun-98,1111112,??????,??????,????,???????? ?????? -2016,Address124,?????,????????? ?????????,????,,,???? ??? 28,?? ????
????? ???? ???? ????,????,????,161003,a.naser_fci16@suezuni.edu.eg,98765432136253,Dr.Yasser Fouaad Ramadan,????,28-Jun-98,1111113,??????,??????,????,???????? ?????? -2016,Address125,?????,????????? ?????????,????,,,-------------------,??? ?????
?????? ???? ???? ???????,????,????,161004,m.said_fci16@suezuni.edu.eg,98765432136254,Dr.Yasser Fouaad Ramadan,????,29-Jun-98,1111114,??????,??????,?????,???????? ?????? -2016,Address126,?????,????????? ?????????,????,,,-------------------,??? ?????
???? ???? ??? ????,???,????,161005,a.abdo_fci16@suezuni.edu.eg,98765432136255,Dr.Yasser Fouaad Ramadan,????,30-Jun-98,1111115,??????,??????,????,???????? ?????? -2016,Address127,?????,???? ??????,????,,,??? ???? ??????? ???????,????
???? ??????? ????? ???????,???,???????,161006,m.abdelhai_fci16@suezuni.edu.eg,98765432136256,Dr.Yasser Fouaad Ramadan,????,01-Jul-98,1111116,??????,??????,????,???????? ?????? -2016,Address128,???,???? ??????,????,???? ??????,,??? ???? ??????? ???????,????
????? ???? ???? ????,????,????,161007,a.mohamed_fci164@suezuni.edu.eg,98765432136257,Dr.Yasser Fouaad Ramadan,????,02-Jul-98,1111117,??????,??????,????,???????? ?????? -2016,Address129,?????,???? ??????,????,,,-------------------,??? ?????
??? ???? ????? ?????????,????,????,161008,s.mohamed_fci161@suezuni.edu.eg,98765432136258,Dr.Haitham Farook Abd Elfattah,????,03-Jul-98,1111118,??????,??????,????,???????? ?????? -2016,Address130,?????,???? ??????,????,,,-------------------,??? ?????
???? ???? ???? ???? ?????,????,????,161009,s.mohamed_fci16@suezuni.edu.eg,98765432136259,Dr. Samah Ahmed Zaki,????,04-Jul-98,1111119,??????,???????,????,???????? ?????? -2016,Address131,?????,???? ??????,????,,,-------------------,??? ?????
???? ??? ????? ???? ????,????,????,161010,z.mohyeldeen_fci16@suezuni.edu.eg,98765432136260,Dr. Fayza Ahmed Elsayed,????,05-Jul-98,1111120,??????,??????,????,???????? ?????? -2016,Address132,?????,????????? ?????????,????,,,-------------------,??? ?????
